original_text,augmented_text,augmentation_type,short_description_of_changed_words,label
I found a hair in my food.,I found a hair in notice my food.,insertion,inserted: notice,complaint
I found a hair in my food.,I plant a hair in my food.,synonym,found -> plant,complaint
I found a hair in my food.,I found a angstrom unit hair in my food.,insertion,inserted: angstrom unit,complaint
Could you bring us the dessert menu?,Could you bestow us the dessert menu?,synonym,bring -> bestow,request
Could you bring us the dessert menu?,Could you bring us the dessert menu?,deletion,none,request
Could you bring us the dessert menu?,Could you bring us the dessert menu?,deletion,none,request
Great atmosphere and friendly staff.,and atmosphere Great friendly staff.,swap,and <-> Great,praise
Great atmosphere and friendly staff.,Great atmosphere and friendly,deletion,deleted: staff.,praise
Great atmosphere and friendly staff.,Great atmosphere and standard atmosphere friendly staff.,insertion,inserted: standard atmosphere,praise
Compliments to the chef!,congratulate to the chef!,synonym,Compliments -> congratulate,praise
Compliments to the chef!,Compliments to the chef!,deletion,none,praise
Compliments to the chef!,Compliments wish to the chef!,insertion,inserted: wish,praise
This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none,praise
This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none,praise
This was a fantastic dining experience.,This was a fantastic experience.,deletion,deleted: dining,praise
"Yes, I’d like the salmon, please.","Yes, I’d like the salmon, please.",deletion,none,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d the likes of the salmon, please.",synonym,like -> the likes of,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d like the please. salmon,",swap,"please. <-> salmon,",confirmation
What’s the most popular dish here?,What’s here? most popular dish the,swap,here? <-> the,inquiry
What’s the most popular dish here?,What’s the almost popular dish here?,synonym,most -> almost,inquiry
What’s the most popular dish here?,What’s the most nearly popular dish here?,insertion,inserted: nearly,inquiry
Do you have a table near the window?,Do you have a tabularize near the window?,synonym,table -> tabularize,request
Do you have a table near the window?,Do you have a put over near the window?,synonym,table -> put over,request
Do you have a table near the window?,you have a table the window?,deletion,"deleted: Do, near",request
"Can I get a table for two, please?","Can I get amp table for two, please?",synonym,a -> amp,request
"Can I get a table for two, please?","Can two, get a table for I please?",swap,"two, <-> I",request
"Can I get a table for two, please?",Can I get a table please?,deletion,"deleted: for, two,",request
"That’s correct, two coffees and a muffin.","That’s correct, deuce coffees and a muffin.",synonym,two -> deuce,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, two coffees and muffin.",deletion,deleted: a,confirmation
"That’s correct, two coffees and a muffin.","That’s correct, 2 coffees and a muffin.",synonym,two -> 2,confirmation
This was a fantastic dining experience.,This was a terrific dining experience.,synonym,fantastic -> terrific,praise
This was a fantastic dining experience.,This angstrom unit was a fantastic dining experience.,insertion,inserted: angstrom unit,praise
This was a fantastic dining experience.,This was a fantastic dining experience. angstrom,insertion,inserted: angstrom,praise
"Yes, I’d like the salmon, please.","Yes, like the salmon, please.",deletion,deleted: I’d,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d care the salmon, please.",synonym,like -> care,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d alike the salmon, please.",synonym,like -> alike,confirmation
"Yes, we have a reservation at 7.","Yes, we have reservation a at 7.",swap,reservation <-> a,confirmation
"Yes, we have a reservation at 7.","7. we have a reservation at Yes,",swap,"Yes, <-> 7.",confirmation
"Yes, we have a reservation at 7.","Yes, we experience a reservation at 7.",synonym,have -> experience,confirmation
"No, we haven’t ordered yet.","No, haven’t ordered yet.",deletion,deleted: we,confirmation
"No, we haven’t ordered yet.","No, we haven’t ordered yet.",deletion,none,confirmation
"No, we haven’t ordered yet.","No, we haven’t ordered yet.",deletion,none,confirmation
Everything was perfect tonight.,Everything was exist perfect tonight.,insertion,inserted: exist,praise
Everything was perfect tonight.,Everything constitute perfect tonight.,synonym,was -> constitute,praise
Everything was perfect tonight.,Everything was perfect tense tonight.,synonym,perfect -> perfect tense,praise
My order is taking too long.,My order is taking also long.,synonym,too -> also,complaint
My order is taking too long.,is order My taking too long.,swap,is <-> My,complaint
My order is taking too long.,is taking long.,deletion,"deleted: My, order, too",complaint
Do you serve breakfast all day?,Do you serve breakfast dish out all day?,insertion,inserted: dish out,inquiry
Do you serve breakfast all day?,Do day? serve breakfast all you,swap,day? <-> you,inquiry
Do you serve breakfast all day?,Do you serve well breakfast all day?,synonym,serve -> serve well,inquiry
"That will be all for now, thank you.","thank will be all for now, That you.",swap,thank <-> That,confirmation
"That will be all for now, thank you.","That will bequeath be all for now, thank you.",insertion,inserted: bequeath,confirmation
"That will be all for now, thank you.","That be will all for now, thank you.",swap,be <-> will,confirmation
"That’s perfect, thank you.","That’s perfect, give thanks thank you.",insertion,inserted: give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, thank you.",deletion,none,confirmation
"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks,confirmation
Do you have a table near the window?,Do the have a table near you window?,swap,you <-> the,request
Do you have a table near the window?,table you have a Do near the window?,swap,table <-> Do,request
Do you have a table near the window?,Do put off you have a table near the window?,insertion,inserted: put off,request
We’ve been waiting for 30 minutes.,We’ve been waiting for 30 minutes.,deletion,none,complaint
We’ve been waiting for 30 minutes.,We’ve been waiting for 30 minutes.,deletion,none,complaint
We’ve been waiting for 30 minutes.,We’ve been waiting xxx for 30 minutes.,insertion,inserted: xxx,complaint
"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, thank",deletion,deleted: you.,confirmation
"That’s perfect, thank you.","That’s thank perfect, you.",swap,"thank <-> perfect,",confirmation
The pasta was amazing!,The pasta was amazing!,deletion,none,praise
The pasta was amazing!,amazing! pasta was The,swap,amazing! <-> The,praise
The pasta was amazing!,The pasta was amazing!,deletion,none,praise
Best restaurant in town!,Best restaurant town! in,swap,town! <-> in,praise
Best restaurant in town!,Best eating place in town!,synonym,restaurant -> eating place,praise
Best restaurant in town!,restaurant Best in town!,swap,Best <-> restaurant,praise
We'd like to order now.,We'd like to order now.,deletion,none,request
We'd like to order now.,We'd to order now.,deletion,deleted: like,request
We'd like to order now.,We'd like to consecrate now.,synonym,order -> consecrate,request
"Can we have the bill, please?","Can we wealthy person the bill, please?",synonym,have -> wealthy person,request
"Can we have the bill, please?","Can we bill, the have please?",swap,"bill, <-> have",request
"Can we have the bill, please?","Can we have the own bill, please?",insertion,inserted: own,request
"Can I get a table for two, please?","Can I get a table commode for two, please?",insertion,inserted: commode,request
"Can I get a table for two, please?","Can I produce a table for two, please?",synonym,get -> produce,request
"Can I get a table for two, please?","Can I get a table two, please?",deletion,deleted: for,request
"Yes, we have a reservation at 7.","Yes, we have a reservation at 7.",deletion,none,confirmation
"Yes, we have a reservation at 7.","reservation we have a Yes, at 7.",swap,"Yes, <-> reservation",confirmation
"Yes, we have a reservation at 7.","Yes, we have angstrom reservation at 7.",synonym,a -> angstrom,confirmation
Do you have outdoor seating?,Do you outdoor have seating?,swap,outdoor <-> have,inquiry
Do you have outdoor seating?,Do you experience outdoor seating?,synonym,have -> experience,inquiry
Do you have outdoor seating?,Do you have seating? outdoor,swap,outdoor <-> seating?,inquiry
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none,confirmation
"Sure, I’ll wait at the bar.","wait I’ll Sure, at the bar.",swap,"wait <-> Sure,",confirmation
Compliments to the chef!,Compliments to the chef!,deletion,none,praise
Compliments to the chef!,compliments Compliments to the chef!,insertion,inserted: compliments,praise
