row_index,original_text,augmented_text,augmentation_type,short_description_of_changed_words
0,I found a hair in my food.,I found a hair in notice my food.,insertion,inserted: notice
0,I found a hair in my food.,I plant a hair in my food.,synonym,found -> plant
0,I found a hair in my food.,I found a angstrom unit hair in my food.,insertion,inserted: angstrom unit
1,Could you bring us the dessert menu?,Could you bestow us the dessert menu?,synonym,bring -> bestow
1,Could you bring us the dessert menu?,Could you bring us the dessert menu?,deletion,none
1,Could you bring us the dessert menu?,Could you bring us the dessert menu?,deletion,none
2,Great atmosphere and friendly staff.,and atmosphere Great friendly staff.,swap,and <-> Great
2,Great atmosphere and friendly staff.,Great atmosphere and friendly,deletion,deleted: staff.
2,Great atmosphere and friendly staff.,Great atmosphere and standard atmosphere friendly staff.,insertion,inserted: standard atmosphere
3,Compliments to the chef!,congratulate to the chef!,synonym,Compliments -> congratulate
3,Compliments to the chef!,Compliments to the chef!,deletion,none
3,Compliments to the chef!,Compliments wish to the chef!,insertion,inserted: wish
4,This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none
4,This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none
4,This was a fantastic dining experience.,This was a fantastic experience.,deletion,deleted: dining
5,"Yes, I’d like the salmon, please.","Yes, I’d like the salmon, please.",deletion,none
5,"Yes, I’d like the salmon, please.","Yes, I’d the likes of the salmon, please.",synonym,like -> the likes of
5,"Yes, I’d like the salmon, please.","Yes, I’d like the please. salmon,",swap,"please. <-> salmon,"
6,What’s the most popular dish here?,What’s here? most popular dish the,swap,here? <-> the
6,What’s the most popular dish here?,What’s the almost popular dish here?,synonym,most -> almost
6,What’s the most popular dish here?,What’s the most nearly popular dish here?,insertion,inserted: nearly
7,Do you have a table near the window?,Do you have a tabularize near the window?,synonym,table -> tabularize
7,Do you have a table near the window?,Do you have a put over near the window?,synonym,table -> put over
7,Do you have a table near the window?,you have a table the window?,deletion,"deleted: Do, near"
8,"Can I get a table for two, please?","Can I get amp table for two, please?",synonym,a -> amp
8,"Can I get a table for two, please?","Can two, get a table for I please?",swap,"two, <-> I"
8,"Can I get a table for two, please?",Can I get a table please?,deletion,"deleted: for, two,"
9,"That’s correct, two coffees and a muffin.","That’s correct, deuce coffees and a muffin.",synonym,two -> deuce
9,"That’s correct, two coffees and a muffin.","That’s correct, two coffees and muffin.",deletion,deleted: a
9,"That’s correct, two coffees and a muffin.","That’s correct, 2 coffees and a muffin.",synonym,two -> 2
10,This was a fantastic dining experience.,This was a terrific dining experience.,synonym,fantastic -> terrific
10,This was a fantastic dining experience.,This angstrom unit was a fantastic dining experience.,insertion,inserted: angstrom unit
10,This was a fantastic dining experience.,This was a fantastic dining experience. angstrom,insertion,inserted: angstrom
11,"Yes, I’d like the salmon, please.","Yes, like the salmon, please.",deletion,deleted: I’d
11,"Yes, I’d like the salmon, please.","Yes, I’d care the salmon, please.",synonym,like -> care
11,"Yes, I’d like the salmon, please.","Yes, I’d alike the salmon, please.",synonym,like -> alike
12,"Yes, we have a reservation at 7.","Yes, we have reservation a at 7.",swap,reservation <-> a
12,"Yes, we have a reservation at 7.","7. we have a reservation at Yes,",swap,"Yes, <-> 7."
