id,text,label
1,I found a hair in my food.,complaint
2,Could you bring us the dessert menu?,request
3,Great atmosphere and friendly staff.,praise
4,Compliments to the chef!,praise
5,This was a fantastic dining experience.,praise
6,"Yes, I’d like the salmon, please.",confirmation
7,What’s the most popular dish here?,inquiry
8,Do you have a table near the window?,request
9,"Can I get a table for two, please?",request
10,"That’s correct, two coffees and a muffin.",confirmation
11,This was a fantastic dining experience.,praise
12,"Yes, I’d like the salmon, please.",confirmation
13,"Yes, we have a reservation at 7.",confirmation
14,"No, we haven’t ordered yet.",confirmation
15,Everything was perfect tonight.,praise
16,My order is taking too long.,complaint
17,Do you serve breakfast all day?,inquiry
18,"That will be all for now, thank you.",confirmation
19,"That’s perfect, thank you.",confirmation
20,Do you have a table near the window?,request
21,We’ve been waiting for 30 minutes.,complaint
22,"That’s perfect, thank you.",confirmation
23,The pasta was amazing!,praise
24,Best restaurant in town!,praise
25,We'd like to order now.,request
26,"Can we have the bill, please?",request
27,"Can I get a table for two, please?",request
28,"Yes, we have a reservation at 7.",confirmation
29,Do you have outdoor seating?,inquiry
30,"Sure, I’ll wait at the bar.",confirmation
31,Compliments to the chef!,praise
32,Do you serve breakfast all day?,inquiry
33,We had a lovely time.,praise
34,The service was very slow.,complaint
35,Our reservation was not honored.,complaint
36,"Can I get a table for two, please?",request
37,Compliments to the chef!,praise
38,Do you have any daily specials?,inquiry
39,Do you take reservations?,inquiry
40,I found a hair in my food.,complaint
41,This was a fantastic dining experience.,praise
42,Can I change my order?,request
43,We had a lovely time.,praise
44,Best restaurant in town!,praise
45,"That will be all for now, thank you.",confirmation
46,"Yes, everything’s great.",confirmation
47,"That’s correct, two coffees and a muffin.",confirmation
48,This was a fantastic dining experience.,praise
49,The steak is undercooked.,complaint
50,Do you have a table near the window?,request
51,The pasta was amazing!,praise
52,Can I change my order?,request
53,"Yes, we have a reservation at 7.",confirmation
54,Can I see the wine list?,inquiry
55,"Sure, I’ll wait at the bar.",confirmation
56,Is gratuity included in the bill?,inquiry
57,This soup is cold.,complaint
58,I found a hair in my food.,complaint
59,Do you have outdoor seating?,inquiry
60,Can I see the wine list?,inquiry
61,"That will be all for now, thank you.",confirmation
62,Do you have any gluten-free options?,request
63,We had a lovely time.,praise
64,"Yes, everything’s great.",confirmation
65,"That’s perfect, thank you.",confirmation
66,Do you have a table near the window?,request
67,"Yes, we have a reservation at 7.",confirmation
68,The food doesn’t taste fresh.,complaint
69,We’ve been waiting for 30 minutes.,complaint
70,This was a fantastic dining experience.,praise
71,Can I get another glass of water?,request
72,"Sure, I’ll wait at the bar.",confirmation
73,"Can I get a table for two, please?",request
74,"Sure, I’ll wait at the bar.",confirmation
75,"That’s correct, two coffees and a muffin.",confirmation
76,Is gratuity included in the bill?,inquiry
77,Can I see the wine list?,inquiry
78,This was a fantastic dining experience.,praise
79,The steak is undercooked.,complaint
80,I found a hair in my food.,complaint
